2428 38TH, ALLEGAN, MICHIGAN,49010,55900,42.596277,-85.919112,1162,1.0,0.0
1308 JENNINGS COURT, ALLEGAN, MICHIGAN,49010,28700,42.515179,-85.828247,962,2.0,0.0
3173 102ND, ALLEGAN, MICHIGAN,49010,37700,42.434895,-85.852496,1088,2.0,0.0
2611 BASELINE ROAD, ALLEGAN, MICHIGAN,49010,19200,42.420318,-85.859456,1008,1.0,0.0
2611 BASELINE ROAD, ALLEGAN, MICHIGAN,49010,19200,42.420318,-85.859456,1008,1.0,0.0
745 GRAND STREET, ALLEGAN, MICHIGAN,49010,455300,42.533797,-85.831855,24192,0.0,0.0
1835 LINCOLN ROAD, ALLEGAN, MICHIGAN,49010,102900,42.555835,-85.892573,3133,3.0,3.0
400 NORTH MAIN STREET, ALLEGAN, MICHIGAN,49010,38400,42.534627,-85.845175,1704,2.0,0.0
2346 33RD STREET, ALLEGAN, MICHIGAN,49010,34500,42.590747,-85.869619,1168,1.0,2.0
103 GRANT STREET, ALLEGAN, MICHIGAN,49010,31100,42.528423,-85.864555,1206,1.0,0.0
4353 118TH AVENUE, ALLEGAN, MICHIGAN,49010,26900,42.553356,-85.971873,1768,3.0,0.0
540 36TH STREET, ALLEGAN, MICHIGAN,49010,18900,42.459567,-85.895891,924,1.0,0.0
950 37TH STREET, ALLEGAN, MICHIGAN,49010,35900,42.48865,-85.905993,1400,2.0,0.0
1248 WELLS ROAD, ALLEGAN, MICHIGAN,49010,18700,42.509795,-85.811948,1088,1.0,4.0
2323 28TH STREET, ALLEGAN, MICHIGAN,49010,30200,42.589152,-85.820475,1006,1.0,2.0
4009 112TH AVENUE, ALLEGAN, MICHIGAN,49010,18300,42.506487,-85.936548,1315,1.0,0.0
2933 108TH AVENUE, ALLEGAN, MICHIGAN,49010,40400,42.478538,-85.828086,1800,2.0,0.0
228 JAMES STREET, ALLEGAN, MICHIGAN,49010,26100,42.526554,-85.859528,1447,1.0,0.0
2933 108TH AVENUE, ALLEGAN, MICHIGAN,49010,40400,42.478538,-85.828086,1800,2.0,0.0
4359 108TH AVENUE, ALLEGAN, MICHIGAN,49010,26200,42.476947,-85.955654,1050,1.0,3.0
215 DONALD DRIVE, ALLEGAN, MICHIGAN,49010,103700,42.435116,-85.862586,2356,3.0,0.0
215 DONALD DRIVE, ALLEGAN, MICHIGAN,49010,103700,42.435116,-85.862586,2356,3.0,0.0
4440 128th Ave., ALLEGAN, MICHIGAN,49010,58400,42.622598,-85.980265,1296,1.0,0.0
1915 MARCH ST, KALAMAZOO, MICHIGAN,49001,18100,42.272631,-85.562715,0,0.0,0.0
5361 COMSTOCK AVE, KALAMAZOO, MICHIGAN,49048,31300,42.283833,-85.524445,0,0.0,0.0
628 LAKE ST, KALAMAZOO, MICHIGAN,49001,14600,42.280841,-85.575739,0,0.0,0.0
