512 LAWRENCE STREET OTSEGO MICHIGAN,42.4499541,-85.6886452
113 SOUTH FAIR STREET OTSEGO MICHIGAN,42.459668,-85.6955878
538 EAST HAMMOND STREET OTSEGO MICHIGAN,42.4537551,-85.6879493
1362 EAST M89 LOT 103 OTSEGO MICHIGAN,42.45012560000001,-85.67839939999999
982 16TH STREET OTSEGO MICHIGAN,42.4836378,-85.7010296
2004 112TH STREET OTSEGO MICHIGAN,42.5082937,-85.7428197
347 LINCOLN STREET OTSEGO MICHIGAN,42.4559554,-85.7041864
1362 M-89 HIGHWAY 112 OTSEGO MICHIGAN,42.45012560000001,-85.67839939999999
337 LINCOLN STREET OTSEGO MICHIGAN,42.45596339999999,-85.7037366
305 RIVERVIEW DR PLAINWELL MICHIGAN,42.4242142,-85.57262510000001
722 BRITTANY PLAINWELL MICHIGAN,42.4732283,-85.6397255
305 RIVERVIEW DR PLAINWELL MICHIGAN,42.4242142,-85.57262510000001
12728 BONIFACE PT PLAINWELL MICHIGAN,42.4956979,-85.5382999
305 RIVERVIEW DR PLAINWELL MICHIGAN,42.4242142,-85.57262510000001
722 BRITTANY ST PLAINWELL MICHIGAN,42.4732283,-85.6397255
982 RICHELIEU PLAINWELL MICHIGAN,42.4707835,-85.639399
1232 KEITH ST PLAINWELL MICHIGAN,42.4486137,-85.6647563
1044 MARSH ROAD PLAINWELL MICHIGAN,42.4981174,-85.55731709999999
497 RIVERVIEW PLAINWELL MICHIGAN,42.4294218,-85.5927419
147 SOUTH SHERWOOD STREET PLAINWELL MICHIGAN,42.4418642,-85.633969
947 RICHELIEU PLAINWELL MICHIGAN,42.4694536,-85.6386321
674 WEST BRIDGE STREET PLAINWELL MICHIGAN,42.4432045,-85.65467559999999
14895 SOUTH DOSTER ROAD PLAINWELL MICHIGAN,42.4375478,-85.5415202
227 ROBIN STREET PLAINWELL MICHIGAN,42.4406083,-85.6580104
5531 104TH ST PULLMAN MICHIGAN,42.4477453,-86.0841662
102ND AVENUE PULLMAN MICHIGAN,42.4336083,-85.9619312
551 56TH STREET PULLMAN MICHIGAN,42.45872809999999,-86.0903064
963 52 STREET PULLMAN MICHIGAN,42.48909279999999,-86.0517866
545 55TH STREET PULLMAN MICHIGAN,42.4581171,-86.07993180000001
122ND AVENUE SHELBYVILLE MICHIGAN,42.58146430000001,-85.589245
7TH STREET SHELBYVILLE MICHIGAN,42.5943243,-85.61250720000001
187 66TH STREET SOUTH HAVEN MICHIGAN,42.4324405,-86.18635069999999
416 131ST STREET WAYLAND MICHIGAN,42.6440666,-85.58571859999999
3539 7TH STREET WAYLAND MICHIGAN,42.6772301,-85.6120725
3607 GARDEN STREET WAYLAND MICHIGAN,42.6818823,-85.646221
1123 129th Ave WAYLAND MICHIGAN,42.6315529,-85.6555266
4440 128th Ave. ALLEGAN MICHIGAN,42.6261782,-85.9803131
201 SOUTH 12TH AVENUE 1 ALPENA MICHIGAN,45.0712953,-83.44610709999999
226 E crapo STREET ALPENA MICHIGAN,45.0533067,-83.44483989999999
1205 W washington AVENUE ALPENA MICHIGAN,45.0599159,-83.45756879999999
2255 Long Lake Park Rd ALPENA MICHIGAN,45.1966453,-83.4469043
724 S 8th Ave ALPENA MICHIGAN,45.0639055,-83.44699109999999
2249 2nd STREET LACHINE MICHIGAN,45.0768527,-83.7190483
9548 Piper Rd OSSINEKE MICHIGAN,44.9349199,-83.4468528
627 N 3rd TERRACE LANSE MICHIGAN,46.7643896,-88.44416079999999
8020 DAY ROAD BELLEVUE MICHIGAN,42.4377615,-85.13080029999999
3231 CLOVERDALE RD CLOVERDALE MICHIGAN,42.5430933,-85.40325949999999
7495 CEDAR CREEK RD DELTON MICHIGAN,42.5441019,-85.3274737
6305 TIGERLILY DELTON MICHIGAN,42.5617998,-85.48796209999999
6491 LINDSEY RD DELTON MICHIGAN,42.5595193,-85.5051579
10995 SHELP LAKE DR DELTON MICHIGAN,42.5070218,-85.50392920000002
6305 TIGER LILY DR DELTON MICHIGAN,42.5617998,-85.48796209999999
11922 COBB ROAD DELTON MICHIGAN,42.4787392,-85.3445757
7757 GUERNSEY LAKE ROAD DELTON MICHIGAN,42.5430405,-85.4420056
6425 KELLER ROAD DELTON MICHIGAN,42.5585238,-85.41432569999999
4067 SOUTH SHORE DRIVE DELTON MICHIGAN,42.5566514,-85.3674877
11492 SPRAGUE ROAD DELTON MICHIGAN,42.4855508,-85.42035980000001
11175 EAST SHORE ROAD DELTON MICHIGAN,42.4898454,-85.41659609999999
8558 GURD RD DOWLING MICHIGAN,42.528836,-85.3184601
2940 LAWRENCE RD HASTINGS MICHIGAN,42.5657441,-85.23290829999999
1295 STARR SCHOOL RD HASTINGS MICHIGAN,42.6371612,-85.2703392
302 THORN E ST HASTINGS MICHIGAN,42.6512828,-85.2844359
3846 SOUTH M-43 HIGHWAY HASTINGS MICHIGAN,42.5968028,-85.35491850000001
420 EAST MADISON STREET HASTINGS MICHIGAN,42.6421498,-85.28231629999999
1607 EAST DOWLING ROAD HASTINGS MICHIGAN,42.5227261,-85.25612919999999
1966 YECKLEY ROAD HASTINGS MICHIGAN,42.6301818,-85.32639259999999
317 EAST STATE STREET HASTINGS MICHIGAN,42.64892529999999,-85.28378099999999
602 EAST GREEN STREET HASTINGS MICHIGAN,42.6458309,-85.2799057
55 SUNDAGO PARK HASTINGS MICHIGAN,42.62380659999999,-85.1960588
210 NORTH PARK STREET HASTINGS MICHIGAN,42.6499859,-85.2924355
317 EAST BOND STREET HASTINGS MICHIGAN,42.64346310000001,-85.2838262
403 SOUTH JEFFERSON STREET HASTINGS MICHIGAN,42.6458915,-85.287551
15467 RICH LANE HICKORY CORNERS MICHIGAN,42.4281503,-85.4399837
14565 KELLOGG SCHOOL ROAD HICKORY CORNERS MICHIGAN,42.4410861,-85.3760526
201 LINCOLN STREET MIDDLEVILLE MICHIGAN,42.7173549,-85.46086939999999
107 NORTH MAIN STREET NASHVILLE MICHIGAN,42.603735,-85.0935197
409 LENTZ STREET NASHVILLE MICHIGAN,42.6065592,-85.0864656
844 SHERMAN NASHVILLE MICHIGAN,42.6030785,-85.08062989999999
11545 W KINSEL HIGHWAY NASHVILLE MICHIGAN,42.596038,-85.06430019999999
11321 9 MILE ROAD PLAINWELL MICHIGAN,42.549177,-85.5099484
11321 9 MILE ROAD PLAINWELL MICHIGAN,42.549177,-85.5099484
12372 SUNSET CIRCLE PLAINWELL MICHIGAN,42.4878039,-85.5310828
11604 PEACH TREE STREET PLAINWELL MICHIGAN,42.4995751,-85.5369889
6583 BOULTER RD SHELBYVILLE MICHIGAN,42.55843369999999,-85.51867469999999
7120 MARSH RD SHELBYVILLE MICHIGAN,42.55218199999999,-85.5189934
4268 WEST JOY ROAD SHELBYVILLE MICHIGAN,42.59176069999999,-85.54033489999999
129924 RISON DRIVE WAYLAND MICHIGAN,42.63642060000001,-85.54156619999999
1003 FLORENCE E ST 2 BAY CITY MICHIGAN,43.6077448,-83.895522
4059 DAYBROOK DRIVE BAY CITY MICHIGAN,43.6222113,-83.9195616
4 SEASONS ROAD BENZONIA MICHIGAN,44.59139529999999,-86.0915548
5626 THOMPSONVILLE S RD THOMPSONVILLE MICHIGAN,44.5474247,-85.9381368
5660 THOMPSONVILLE S RD THOMPSONVILLE MICHIGAN,44.5468976,-85.9381143
478 GARY AVE BENTON HARBOR MICHIGAN,42.080087,-86.46479099999999
3398 RIVERSIDE ROAD BENTON HARBOR MICHIGAN,42.1734269,-86.388803
438 MILLBURG DRIVE BENTON HARBOR MICHIGAN,42.11557699999999,-86.33527699999999
2699 SOUTH M-139 HIGHWAY 140 BENTON HARBOR MICHIGAN,42.070769,-86.43457599999999
4739 NORTH STREET BENTON HARBOR MICHIGAN,42.1237894,-86.34256180000001
2390 EAST EUCLID AVENUE BENTON HARBOR MICHIGAN,42.14299,-86.40113300000002
2026 HATCH STREET BENTON HARBOR MICHIGAN,42.133331,-86.410862
573 MIDWAY 2 BENTON HARBOR MICHIGAN,42.1241087,-86.418697
846 N BENTON CENTER ROAD BENTON HARBOR MICHIGAN,42.129703,-86.3811659
9240 JERICHO RD BRIDGMAN MICHIGAN,41.951243,-86.53411799999999
803 NORTH RED BUD TRAIL BUCHANAN MICHIGAN,41.8354641,-86.35816659999999
609 WEST 4TH STREET 28 BUCHANAN MICHIGAN,41.8323842,-86.3746544
2980 OAK FOREST ROAD BUCHANAN MICHIGAN,41.767616,-86.38802129999999
406 WEST ROE STREET BUCHANAN MICHIGAN,41.8260683,-86.3692015
1005 VICTORY STREET BUCHANAN MICHIGAN,41.837509,-86.355724
105 FULTON BUCHANAN MICHIGAN,41.835256,-86.36067100000001
